,timesteps,units,second units,dropout,learning_rate,f1_score,threshold,best_report,confusion_matrix
20,50,128,16,0.2,0.001,0.37142857142857144,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.5909090909090909, 'recall': 1.0, 'f1-score': 0.7428571428571429, 'support': 26.0}, 'accuracy': 0.5909090909090909, 'macro avg': {'precision': 0.29545454545454547, 'recall': 0.5, 'f1-score': 0.37142857142857144, 'support': 44.0}, 'weighted avg': {'precision': 0.3491735537190083, 'recall': 0.5909090909090909, 'f1-score': 0.438961038961039, 'support': 44.0}}","[[ 0 18]
 [ 0 26]]"
21,50,128,16,0.2,0.0005,0.34545454545454546,0.5,"{'0': {'precision': 0.3783783783783784, 'recall': 0.7777777777777778, 'f1-score': 0.509090909090909, 'support': 18.0}, '1': {'precision': 0.42857142857142855, 'recall': 0.11538461538461539, 'f1-score': 0.18181818181818182, 'support': 26.0}, 'accuracy': 0.38636363636363635, 'macro avg': {'precision': 0.40347490347490345, 'recall': 0.4465811965811966, 'f1-score': 0.34545454545454546, 'support': 44.0}, 'weighted avg': {'precision': 0.408037908037908, 'recall': 0.38636363636363635, 'f1-score': 0.315702479338843, 'support': 44.0}}","[[14  4]
 [23  3]]"
22,50,128,16,0.5,0.001,0.37142857142857144,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.5909090909090909, 'recall': 1.0, 'f1-score': 0.7428571428571429, 'support': 26.0}, 'accuracy': 0.5909090909090909, 'macro avg': {'precision': 0.29545454545454547, 'recall': 0.5, 'f1-score': 0.37142857142857144, 'support': 44.0}, 'weighted avg': {'precision': 0.3491735537190083, 'recall': 0.5909090909090909, 'f1-score': 0.438961038961039, 'support': 44.0}}","[[ 0 18]
 [ 0 26]]"
23,50,128,16,0.5,0.0005,0.2903225806451613,0.5,"{'0': {'precision': 0.4090909090909091, 'recall': 1.0, 'f1-score': 0.5806451612903226, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}, 'accuracy': 0.4090909090909091, 'macro avg': {'precision': 0.20454545454545456, 'recall': 0.5, 'f1-score': 0.2903225806451613, 'support': 44.0}, 'weighted avg': {'precision': 0.16735537190082647, 'recall': 0.4090909090909091, 'f1-score': 0.23753665689149564, 'support': 44.0}}","[[18  0]
 [26  0]]"
24,50,64,32,0.2,0.001,0.4315245478036176,0.5,"{'0': {'precision': 0.37037037037037035, 'recall': 0.5555555555555556, 'f1-score': 0.4444444444444444, 'support': 18.0}, '1': {'precision': 0.5294117647058824, 'recall': 0.34615384615384615, 'f1-score': 0.4186046511627907, 'support': 26.0}, 'accuracy': 0.4318181818181818, 'macro avg': {'precision': 0.44989106753812635, 'recall': 0.45085470085470086, 'f1-score': 0.4315245478036176, 'support': 44.0}, 'weighted avg': {'precision': 0.46434937611408195, 'recall': 0.4318181818181818, 'f1-score': 0.42917547568710357, 'support': 44.0}}","[[10  8]
 [17  9]]"
25,50,64,32,0.2,0.0005,0.29195402298850576,0.5,"{'0': {'precision': 0.375, 'recall': 0.8333333333333334, 'f1-score': 0.5172413793103449, 'support': 18.0}, '1': {'precision': 0.25, 'recall': 0.038461538461538464, 'f1-score': 0.06666666666666667, 'support': 26.0}, 'accuracy': 0.36363636363636365, 'macro avg': {'precision': 0.3125, 'recall': 0.4358974358974359, 'f1-score': 0.29195402298850576, 'support': 44.0}, 'weighted avg': {'precision': 0.30113636363636365, 'recall': 0.36363636363636365, 'f1-score': 0.2509926854754441, 'support': 44.0}}","[[15  3]
 [25  1]]"
26,50,64,32,0.5,0.001,0.2903225806451613,0.5,"{'0': {'precision': 0.4090909090909091, 'recall': 1.0, 'f1-score': 0.5806451612903226, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}, 'accuracy': 0.4090909090909091, 'macro avg': {'precision': 0.20454545454545456, 'recall': 0.5, 'f1-score': 0.2903225806451613, 'support': 44.0}, 'weighted avg': {'precision': 0.16735537190082647, 'recall': 0.4090909090909091, 'f1-score': 0.23753665689149564, 'support': 44.0}}","[[18  0]
 [26  0]]"
27,50,64,32,0.5,0.0005,0.37142857142857144,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.5909090909090909, 'recall': 1.0, 'f1-score': 0.7428571428571429, 'support': 26.0}, 'accuracy': 0.5909090909090909, 'macro avg': {'precision': 0.29545454545454547, 'recall': 0.5, 'f1-score': 0.37142857142857144, 'support': 44.0}, 'weighted avg': {'precision': 0.3491735537190083, 'recall': 0.5909090909090909, 'f1-score': 0.438961038961039, 'support': 44.0}}","[[ 0 18]
 [ 0 26]]"
28,50,64,16,0.2,0.001,0.2903225806451613,0.5,"{'0': {'precision': 0.4090909090909091, 'recall': 1.0, 'f1-score': 0.5806451612903226, 'support': 18.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}, 'accuracy': 0.4090909090909091, 'macro avg': {'precision': 0.20454545454545456, 'recall': 0.5, 'f1-score': 0.2903225806451613, 'support': 44.0}, 'weighted avg': {'precision': 0.16735537190082647, 'recall': 0.4090909090909091, 'f1-score': 0.23753665689149564, 'support': 44.0}}","[[18  0]
 [26  0]]"
29,50,64,16,0.2,0.0005,0.3449131513647643,0.5,"{'0': {'precision': 0.125, 'recall': 0.05555555555555555, 'f1-score': 0.07692307692307693, 'support': 18.0}, '1': {'precision': 0.5277777777777778, 'recall': 0.7307692307692307, 'f1-score': 0.6129032258064516, 'support': 26.0}, 'accuracy': 0.45454545454545453, 'macro avg': {'precision': 0.3263888888888889, 'recall': 0.39316239316239315, 'f1-score': 0.3449131513647643, 'support': 44.0}, 'weighted avg': {'precision': 0.36300505050505055, 'recall': 0.45454545454545453, 'f1-score': 0.39363861944507106, 'support': 44.0}}","[[ 1 17]
 [ 7 19]]"
30,50,64,16,0.5,0.001,0.5309168443496801,0.5,"{'0': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 18.0}, '1': {'precision': 0.6341463414634146, 'recall': 1.0, 'f1-score': 0.7761194029850746, 'support': 26.0}, 'accuracy': 0.6590909090909091, 'macro avg': {'precision': 0.8170731707317074, 'recall': 0.5833333333333334, 'f1-score': 0.5309168443496801, 'support': 44.0}, 'weighted avg': {'precision': 0.7838137472283813, 'recall': 0.6590909090909091, 'f1-score': 0.5754991277379337, 'support': 44.0}}","[[ 3 15]
 [ 0 26]]"
31,50,64,16,0.5,0.0005,0.37142857142857144,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18.0}, '1': {'precision': 0.5909090909090909, 'recall': 1.0, 'f1-score': 0.7428571428571429, 'support': 26.0}, 'accuracy': 0.5909090909090909, 'macro avg': {'precision': 0.29545454545454547, 'recall': 0.5, 'f1-score': 0.37142857142857144, 'support': 44.0}, 'weighted avg': {'precision': 0.3491735537190083, 'recall': 0.5909090909090909, 'f1-score': 0.438961038961039, 'support': 44.0}}","[[ 0 18]
 [ 0 26]]"
