,n_estimators,learning_rate,num_leaves,max_depth,boosting_type,subsample,f1_score,threshold,best_report,confusion_matrix
29,100,0.01,31,5,dart,0.7,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
30,100,0.01,31,5,dart,0.8,0.4788135593220339,0.5,"{'0': {'precision': 0.421875, 'recall': 0.5, 'f1-score': 0.4576271186440678, 'support': 54.0}, '1': {'precision': 0.5423728813559322, 'recall': 0.463768115942029, 'f1-score': 0.5, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4821239406779661, 'recall': 0.4818840579710145, 'f1-score': 0.4788135593220339, 'support': 123.0}, 'weighted avg': {'precision': 0.48947137246796196, 'recall': 0.4796747967479675, 'f1-score': 0.48139727159983464, 'support': 123.0}}","[[27 27]
 [37 32]]"
31,100,0.01,31,5,dart,0.8,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
32,100,0.01,31,5,dart,0.8,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
33,100,0.01,31,5,dart,1.0,0.4788135593220339,0.5,"{'0': {'precision': 0.421875, 'recall': 0.5, 'f1-score': 0.4576271186440678, 'support': 54.0}, '1': {'precision': 0.5423728813559322, 'recall': 0.463768115942029, 'f1-score': 0.5, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4821239406779661, 'recall': 0.4818840579710145, 'f1-score': 0.4788135593220339, 'support': 123.0}, 'weighted avg': {'precision': 0.48947137246796196, 'recall': 0.4796747967479675, 'f1-score': 0.48139727159983464, 'support': 123.0}}","[[27 27]
 [37 32]]"
34,100,0.01,31,5,dart,1.0,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
35,100,0.01,31,5,dart,1.0,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
36,100,0.01,31,10,gbdt,0.7,0.4872626215840667,0.5,"{'0': {'precision': 0.4383561643835616, 'recall': 0.5925925925925926, 'f1-score': 0.5039370078740157, 'support': 54.0}, '1': {'precision': 0.56, 'recall': 0.4057971014492754, 'f1-score': 0.47058823529411764, 'support': 69.0}, 'accuracy': 0.4878048780487805, 'macro avg': {'precision': 0.49917808219178084, 'recall': 0.499194847020934, 'f1-score': 0.4872626215840667, 'support': 123.0}, 'weighted avg': {'precision': 0.5065953892415637, 'recall': 0.4878048780487805, 'f1-score': 0.48522915984139, 'support': 123.0}}","[[32 22]
 [41 28]]"
37,100,0.01,31,10,gbdt,0.7,0.47098524449149737,0.5,"{'0': {'precision': 0.4246575342465753, 'recall': 0.5740740740740741, 'f1-score': 0.4881889763779528, 'support': 54.0}, '1': {'precision': 0.54, 'recall': 0.391304347826087, 'f1-score': 0.453781512605042, 'support': 69.0}, 'accuracy': 0.4715447154471545, 'macro avg': {'precision': 0.48232876712328765, 'recall': 0.48268921095008055, 'f1-score': 0.47098524449149737, 'support': 123.0}, 'weighted avg': {'precision': 0.4893618443033746, 'recall': 0.4715447154471545, 'f1-score': 0.4688872284077833, 'support': 123.0}}","[[31 23]
 [42 27]]"
38,100,0.01,31,10,gbdt,0.7,0.4876694214876033,0.5,"{'0': {'precision': 0.43661971830985913, 'recall': 0.5740740740740741, 'f1-score': 0.496, 'support': 54.0}, '1': {'precision': 0.5576923076923077, 'recall': 0.42028985507246375, 'f1-score': 0.4793388429752066, 'support': 69.0}, 'accuracy': 0.4878048780487805, 'macro avg': {'precision': 0.4971560130010834, 'recall': 0.4971819645732689, 'f1-score': 0.4876694214876033, 'support': 123.0}, 'weighted avg': {'precision': 0.5045384879634278, 'recall': 0.4878048780487805, 'f1-score': 0.48665349727877444, 'support': 123.0}}","[[31 23]
 [40 29]]"
