,timesteps,units,numerical units,dropout,learning_rate,cnn_filter,cnn_kernel,cnn_pool,f1_score,threshold,best_report,confusion_matrix
20,10,128,8,0.2,0.0005,128,3,2,0.48121461657231085,0.5,"{'0': {'precision': 0.4, 'recall': 0.21052631578947367, 'f1-score': 0.27586206896551724, 'support': 19.0}, '1': {'precision': 0.6052631578947368, 'recall': 0.7931034482758621, 'f1-score': 0.6865671641791045, 'support': 29.0}, 'accuracy': 0.5625, 'macro avg': {'precision': 0.5026315789473684, 'recall': 0.5018148820326679, 'f1-score': 0.48121461657231085, 'support': 48.0}, 'weighted avg': {'precision': 0.5240131578947369, 'recall': 0.5625, 'f1-score': 0.5239963973237262, 'support': 48.0}}","[[ 4 15]
 [ 6 23]]"
21,10,128,8,0.2,0.0005,128,3,3,0.2835820895522388,0.5,"{'0': {'precision': 0.3958333333333333, 'recall': 1.0, 'f1-score': 0.5671641791044776, 'support': 19.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29.0}, 'accuracy': 0.3958333333333333, 'macro avg': {'precision': 0.19791666666666666, 'recall': 0.5, 'f1-score': 0.2835820895522388, 'support': 48.0}, 'weighted avg': {'precision': 0.15668402777777776, 'recall': 0.3958333333333333, 'f1-score': 0.22450248756218905, 'support': 48.0}}","[[19  0]
 [29  0]]"
22,10,128,8,0.2,0.0005,128,5,2,0.5,0.5,"{'0': {'precision': 0.6, 'recall': 0.15789473684210525, 'f1-score': 0.25, 'support': 19.0}, '1': {'precision': 0.627906976744186, 'recall': 0.9310344827586207, 'f1-score': 0.75, 'support': 29.0}, 'accuracy': 0.625, 'macro avg': {'precision': 0.613953488372093, 'recall': 0.5444646098003629, 'f1-score': 0.5, 'support': 48.0}, 'weighted avg': {'precision': 0.6168604651162791, 'recall': 0.625, 'f1-score': 0.5520833333333334, 'support': 48.0}}","[[ 3 16]
 [ 2 27]]"
23,10,128,8,0.2,0.0005,128,5,3,0.4,0.5,"{'0': {'precision': 0.2857142857142857, 'recall': 0.3157894736842105, 'f1-score': 0.3, 'support': 19.0}, '1': {'precision': 0.5185185185185185, 'recall': 0.4827586206896552, 'f1-score': 0.5, 'support': 29.0}, 'accuracy': 0.4166666666666667, 'macro avg': {'precision': 0.4021164021164021, 'recall': 0.3992740471869328, 'f1-score': 0.4, 'support': 48.0}, 'weighted avg': {'precision': 0.4263668430335097, 'recall': 0.4166666666666667, 'f1-score': 0.42083333333333334, 'support': 48.0}}","[[ 6 13]
 [15 14]]"
24,10,128,8,0.5,0.001,64,2,2,0.5804195804195804,0.5,"{'0': {'precision': 0.48484848484848486, 'recall': 0.8421052631578947, 'f1-score': 0.6153846153846154, 'support': 19.0}, '1': {'precision': 0.8, 'recall': 0.41379310344827586, 'f1-score': 0.5454545454545454, 'support': 29.0}, 'accuracy': 0.5833333333333334, 'macro avg': {'precision': 0.6424242424242425, 'recall': 0.6279491833030852, 'f1-score': 0.5804195804195804, 'support': 48.0}, 'weighted avg': {'precision': 0.6752525252525253, 'recall': 0.5833333333333334, 'f1-score': 0.5731351981351981, 'support': 48.0}}","[[16  3]
 [17 12]]"
25,10,128,8,0.5,0.001,64,2,3,0.37662337662337664,0.5,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
26,10,128,8,0.5,0.001,64,3,2,0.5104212860310421,0.5,"{'0': {'precision': 0.4444444444444444, 'recall': 0.8421052631578947, 'f1-score': 0.5818181818181818, 'support': 19.0}, '1': {'precision': 0.75, 'recall': 0.3103448275862069, 'f1-score': 0.43902439024390244, 'support': 29.0}, 'accuracy': 0.5208333333333334, 'macro avg': {'precision': 0.5972222222222222, 'recall': 0.5762250453720508, 'f1-score': 0.5104212860310421, 'support': 48.0}, 'weighted avg': {'precision': 0.6290509259259259, 'recall': 0.5208333333333334, 'f1-score': 0.49554693274205475, 'support': 48.0}}","[[16  3]
 [20  9]]"
27,10,128,8,0.5,0.001,64,3,3,0.37662337662337664,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
28,10,128,8,0.5,0.001,64,5,2,0.4773139745916515,0.5,"{'0': {'precision': 0.3684210526315789, 'recall': 0.3684210526315789, 'f1-score': 0.3684210526315789, 'support': 19.0}, '1': {'precision': 0.5862068965517241, 'recall': 0.5862068965517241, 'f1-score': 0.5862068965517241, 'support': 29.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.4773139745916515, 'recall': 0.4773139745916515, 'f1-score': 0.4773139745916515, 'support': 48.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 48.0}}","[[ 7 12]
 [12 17]]"
29,10,128,8,0.5,0.001,64,5,3,0.37662337662337664,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 19.0}, '1': {'precision': 0.6041666666666666, 'recall': 1.0, 'f1-score': 0.7532467532467533, 'support': 29.0}, 'accuracy': 0.6041666666666666, 'macro avg': {'precision': 0.3020833333333333, 'recall': 0.5, 'f1-score': 0.37662337662337664, 'support': 48.0}, 'weighted avg': {'precision': 0.3650173611111111, 'recall': 0.6041666666666666, 'f1-score': 0.45508658008658015, 'support': 48.0}}","[[ 0 19]
 [ 0 29]]"
